2018-03-13
team_name,avgFG,avg3,oppFG,opp3,ftPP,ft,shotsFrom2,shotsFrom3,possPG,toRate,offRebound,defRebound
ABL CHRISTIAN,51.9,31.8,52.3,33.2,0.315,70.6,64.6,35.4,72.9,19.8,25.1,73.2
AIR FORCE,46.8,32.5,51.3,39.7,0.32,73.8,56.5,43.5,68.8,18.5,25.8,73.0
AKRON,49.9,35.6,54.1,36.1,0.314,69.6,53.5,46.5,71.4,19.4,24.8,73.3
ALAB A&AMP;M,44.8,30.3,52.3,38.3,0.314,64.7,64.6,35.4,70.1,23.7,26.7,67.9
ALABAMA,53.2,32.5,46.8,31.9,0.414,67.2,64.4,35.6,71.9,19.7,28.0,72.2
ALABAMA ST,45.2,32.8,49.3,37.7,0.352,64.6,65.3,34.7,73.2,19.3,29.0,67.8
ALBANY,48.7,36.8,51.6,32.6,0.37,75.5,72.7,27.3,68.6,17.1,32.5,77.3
ALCORN STATE,47.8,32.7,50.4,36.3,0.337,72.3,61.9,38.1,71.3,20.4,25.4,68.3
AMERICAN,50.7,33.7,53.6,38.3,0.304,66.4,56.1,43.9,69.0,20.0,21.3,71.2
APP STATE,49.9,33.3,48.7,37.9,0.368,67.1,56.9,43.1,74.2,18.3,26.6,77.0
AR LIT ROCK,47.3,31.8,49.4,35.1,0.321,61.5,64.8,35.2,69.1,21.2,25.1,69.9
ARIZONA,56.6,37.7,47.5,35.2,0.376,76.1,67.8,32.2,71.0,17.3,32.3,77.8
ARIZONA ST,53.3,36.4,50.3,34.2,0.419,73.8,59.3,40.7,74.9,14.3,26.0,71.7
ARK PINE BL,49.7,32.9,49.2,32.9,0.366,67.5,64.6,35.4,70.2,20.3,23.2,64.6
ARKANSAS,51.4,40.0,48.0,35.5,0.373,67.8,67.9,32.1,73.6,14.9,27.5,70.4
ARKANSAS ST,49.2,33.2,55.3,38.2,0.331,71.1,63.4,36.6,72.5,18.2,27.1,70.5
ARMY,48.8,38.1,51.1,36.2,0.245,65.2,58.4,41.6,73.3,18.4,24.4,73.9
