Date,Hour,Volume,Speed
1/1/2008,0,375,47
1/1/2008,1,313,45
1/1/2008,2,287,44
1/1/2008,3,277,44
1/1/2008,4,305,44
1/1/2008,5,567,49
1/1/2008,6,895,50
1/1/2008,7,1668,51
1/1/2008,8,1890,51
1/1/2008,9,1458,52
1/1/2008,10,1270,53
1/1/2008,11,1345,53
1/1/2008,12,1485,53
1/1/2008,13,1512,52
1/1/2008,14,1630,53
1/1/2008,15,1987,54
1/1/2008,16,2661,53
1/1/2008,17,3399,52
1/1/2008,18,2768,51
1/1/2008,19,1631,53
1/1/2008,20,1161,52
1/1/2008,21,963,49
1/1/2008,22,760,48
1/1/2008,23,526,47
1/2/2008,0,379,44
1/2/2008,1,318,42
1/2/2008,2,290,42
1/2/2008,3,280,41
1/2/2008,4,304,42
1/2/2008,5,559,47
1/2/2008,6,878,48
1/2/2008,7,1662,49
1/2/2008,8,1906,50
1/2/2008,9,1518,49
1/2/2008,10,1178,63
1/2/2008,11,1268,66
1/2/2008,12,1421,68
1/2/2008,13,1467,67
1/2/2008,14,1553,68
1/2/2008,15,2023,69
1/2/2008,16,2763,71
1/2/2008,17,3442,70
1/2/2008,18,2223,71
1/2/2008,19,1206,68
1/2/2008,20,838,68
1/2/2008,21,701,66
1/2/2008,22,572,61
1/2/2008,23,458,61
1/3/2008,0,370,55
1/3/2008,1,338,56
1/3/2008,2,302,54
1/3/2008,3,277,53
1/3/2008,4,342,55
1/3/2008,5,686,64
1/3/2008,6,914,65
1/3/2008,7,1641,69
1/3/2008,8,1677,68
1/3/2008,9,1262,68
1/3/2008,10,1286,66
1/3/2008,11,1412,67
1/3/2008,12,1544,65
1/3/2008,13,1594,64
1/3/2008,14,1723,64
1/3/2008,15,2161,64
1/3/2008,16,3022,67
1/3/2008,17,3695,69
1/3/2008,18,2510,69
1/3/2008,19,1445,70
1/3/2008,20,941,69
1/3/2008,21,753,66
1/3/2008,22,669,64
1/3/2008,23,523,61
1/4/2008,0,370,54
1/4/2008,1,347,53
1/4/2008,2,300,50
1/4/2008,3,287,51
1/4/2008,4,363,52
1/4/2008,5,654,63
1/4/2008,6,955,66
1/4/2008,7,1657,68
1/4/2008,8,1771,68
1/4/2008,9,1400,67
1/4/2008,10,1369,63
1/4/2008,11,1530,59
1/4/2008,12,1638,58
1/4/2008,13,1683,55
1/4/2008,14,1833,54
1/4/2008,15,2203,58
1/4/2008,16,3064,61
1/4/2008,17,3769,62
1/4/2008,18,2543,64
1/4/2008,19,1466,67
1/4/2008,20,1019,67
1/4/2008,21,930,66
1/4/2008,22,801,66
1/4/2008,23,727,61
1/5/2008,0,472,60
1/5/2008,1,387,61
1/5/2008,2,330,56
1/5/2008,3,321,55
1/5/2008,4,288,56
1/5/2008,5,351,57
1/5/2008,6,443,58
1/5/2008,7,537,57
1/5/2008,8,634,59
1/5/2008,9,761,59
1/5/2008,10,862,62
1/5/2008,11,1000,62
1/5/2008,12,1266,63
1/5/2008,13,1303,62
1/5/2008,14,1361,60
1/5/2008,15,1448,59
1/5/2008,16,1253,61
1/5/2008,17,985,60
1/5/2008,18,947,59
1/5/2008,19,989,60
1/5/2008,20,743,57
1/5/2008,21,638,56
1/5/2008,22,632,56
1/5/2008,23,562,57
1/6/2008,0,493,56
1/6/2008,1,337,54
1/6/2008,2,320,52
1/6/2008,3,321,53
1/6/2008,4,305,53
1/6/2008,5,287,52
1/6/2008,6,309,53
1/6/2008,7,397,53
1/6/2008,8,415,53
1/6/2008,9,510,53
